"GPU_Unique_ID","Rack_ID","Time_Period","Average_GPU_Temperature","Peak_GPU_Temperature","Average_GPU_Power_Usage","Peak_GPU_Power_Usage","Average_GPU_Memory_Usage","Peak_GPU_Memory_Usage"
1,1,1,80.6,78.1,156.3,204.1,79.2,80.6
2,1,1,80.5,65.6,193.6,263.4,83.3,89.3
3,1,1,79,71,214.9,236.1,75.9,92.1
4,1,1,67.1,81.3,205.4,218.4,81.3,82.3
5,1,1,69.8,75,160.9,219.5,73.1,95.1
6,2,1,80.1,87.9,193.8,156.1,79.4,93
7,2,1,75.5,68.4,157.1,243.6,78.3,93.5
8,2,1,79.7,76.8,157.9,214.3,87,92.1
9,2,1,74.3,70.5,168.7,233.8,85.6,99.1
10,2,1,70.7,74.5,174.2,220.2,84.7,75.8
11,3,1,77.7,86.6,170,251.5,78.5,90.7
12,3,1,70.5,73.9,158.5,187.1,79.3,90.7
13,3,1,69.2,67.9,188.6,212.6,79.7,87.6
14,3,1,83.6,80.4,188.2,157.1,76,88.1
15,3,1,83,60.5,171.4,213.4,77.8,94.4
16,4,1,79,85.1,221.7,230.1,78.5,90.2
17,4,1,82,74.8,169.3,220,72.6,89.5
18,4,1,80.5,79.6,148,222.3,79.2,85.2
19,4,1,72.3,79.6,150.6,185,73.9,81.6
20,4,1,80.5,82.9,174,254.3,77.7,88.7
21,5,1,79.9,65.6,154.4,262.5,70,94.8
22,5,1,81.8,73.5,198.2,228.3,83.6,92.9
23,5,1,78.8,73,201.1,187.9,80.5,86.4
24,5,1,86.5,61.3,195.9,154,82,81.4
25,5,1,69.2,81.8,167,230.2,84.2,97.8
26,6,1,82,86.6,200.2,186,77.3,85.9
27,6,1,75.6,86,154.9,202,67.4,85
28,6,1,75.1,72.8,198.5,224.1,81.5,92.7
29,6,1,80.8,75.3,190,199.1,74.7,90.7
30,6,1,76.5,70.6,207.1,245.7,88,100
31,7,1,73.6,70,191.5,237.4,86.4,82.6
32,7,1,75.5,79.3,191.9,252.5,76.4,93.6
33,7,1,71.3,74.6,190.4,250.5,79.8,84
34,7,1,89.2,81.5,175,171.5,78.4,92.1
35,7,1,64.3,71.6,155,276.4,74.9,83.7
36,8,1,81.7,78.2,202.1,187.1,75.2,83
37,8,1,78.9,71.6,224.5,202.8,85.1,92.3
38,8,1,68,71,181.6,260.9,75.2,92.2
39,8,1,77.1,72.6,161.3,204.3,77.3,88
40,8,1,85.5,81.8,178.2,235.1,88.8,80.2
41,9,1,90,61.9,160.9,261.3,82.9,95.7
42,9,1,77.3,70.9,207.3,190.1,79.1,88.6
43,9,1,80.2,83.2,192.2,200.8,79.7,100
44,9,1,86.6,75.4,199.4,239,81.6,94.9
45,9,1,81.6,60.1,176.3,169.7,80.2,89.3
46,10,1,87.5,70.7,178.2,202.8,76.3,92.6
47,10,1,85.2,77.8,194.7,235,84.2,96.6
48,10,1,70.7,67.4,129.3,238.3,82.7,99.6
49,10,1,74.7,66.3,182.4,234,79.1,87.2
50,10,1,77,71.4,166.9,250,78.7,86.3
1,1,2,77.2,70.5,172.5,207.2,84,88.4
2,1,2,79.1,70,177.7,225.8,90.3,98.4
